epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,11100.6,0.59951,0.32918,0.88484,0.93214,0.89726,0.91796,0.58203,1.37643,0.69925,1.39279,0.00101,0.00101,0.00101
102,11212.5,0.62416,0.34319,0.90205,0.91578,0.89376,0.9174,0.59239,1.4166,0.67061,1.46341,0.0010001,0.0010001,0.0010001
103,11323.3,0.62215,0.33918,0.90136,0.92713,0.89041,0.91542,0.57637,1.4359,0.66604,1.44943,0.0009902,0.0009902,0.0009902
104,11433.3,0.63767,0.33673,0.89535,0.91705,0.89041,0.91879,0.59211,1.38614,0.68392,1.41771,0.0009803,0.0009803,0.0009803
105,11543.3,0.60529,0.33555,0.88921,0.89779,0.90245,0.91541,0.58986,1.35948,0.67463,1.37588,0.0009704,0.0009704,0.0009704
106,11654.2,0.5828,0.32244,0.8798,0.88399,0.91781,0.92118,0.5935,1.39139,0.6937,1.38573,0.0009605,0.0009605,0.0009605
107,11763.8,0.57324,0.31928,0.8789,0.91638,0.90072,0.9203,0.58205,1.45759,0.68979,1.45306,0.0009506,0.0009506,0.0009506
108,11874.6,0.59588,0.32846,0.89251,0.93112,0.90411,0.91525,0.58323,1.40008,0.68131,1.42698,0.0009407,0.0009407,0.0009407
109,11984.7,0.58192,0.31676,0.89426,0.94756,0.91096,0.92566,0.58752,1.42812,0.6643,1.43984,0.0009308,0.0009308,0.0009308
110,12094.4,0.60723,0.31902,0.90005,0.94411,0.91096,0.92731,0.58021,1.42405,0.65463,1.44364,0.0009209,0.0009209,0.0009209
111,12203.9,0.5568,0.31752,0.88097,0.94761,0.91096,0.92727,0.5888,1.40579,0.66426,1.40937,0.000911,0.000911,0.000911
112,12313.7,0.57095,0.31655,0.87713,0.91033,0.89726,0.91321,0.57705,1.41242,0.68502,1.40881,0.0009011,0.0009011,0.0009011
113,12423.1,0.56006,0.30468,0.87735,0.94984,0.90782,0.92292,0.58935,1.4109,0.67824,1.44307,0.0008912,0.0008912,0.0008912
114,12532.4,0.55338,0.31133,0.87968,0.93041,0.90411,0.91895,0.60458,1.34906,0.68509,1.40443,0.0008813,0.0008813,0.0008813
115,12642.7,0.58432,0.31169,0.88224,0.93571,0.92466,0.92404,0.59381,1.40698,0.62509,1.42003,0.0008714,0.0008714,0.0008714
116,12753,0.57836,0.3183,0.87406,0.95131,0.91096,0.92563,0.58634,1.37683,0.66054,1.38969,0.0008615,0.0008615,0.0008615
117,12863,0.56694,0.31634,0.87017,0.94364,0.91737,0.92318,0.58414,1.38839,0.66174,1.39391,0.0008516,0.0008516,0.0008516
118,12972.5,0.54984,0.30783,0.87656,0.94838,0.90411,0.93081,0.5947,1.40475,0.63859,1.4153,0.0008417,0.0008417,0.0008417
119,13082.7,0.55696,0.31252,0.86306,0.93462,0.90411,0.92951,0.5961,1.37915,0.61815,1.42679,0.0008318,0.0008318,0.0008318
120,13192.1,0.53802,0.30317,0.86694,0.95135,0.89726,0.93716,0.60308,1.36511,0.61201,1.4055,0.0008219,0.0008219,0.0008219
121,13301.7,0.56333,0.30734,0.88098,0.92741,0.89041,0.92341,0.60682,1.37219,0.65974,1.39965,0.000812,0.000812,0.000812
122,13412.4,0.56431,0.30602,0.87223,0.9406,0.89041,0.9236,0.60786,1.34153,0.6283,1.3907,0.0008021,0.0008021,0.0008021
123,13522.9,0.55966,0.30011,0.87593,0.9535,0.89726,0.93038,0.58965,1.38665,0.65371,1.43444,0.0007922,0.0007922,0.0007922
124,13633,0.55982,0.30279,0.86069,0.95545,0.88146,0.92041,0.58607,1.38463,0.61929,1.42528,0.0007823,0.0007823,0.0007823
125,13744.2,0.53609,0.30349,0.87597,0.94763,0.86986,0.91599,0.57813,1.42221,0.66378,1.46288,0.0007724,0.0007724,0.0007724
126,13855.1,0.52023,0.297,0.8664,0.93429,0.91096,0.92647,0.58833,1.4264,0.63693,1.46371,0.0007625,0.0007625,0.0007625
127,13967.2,0.54137,0.29568,0.86404,0.9288,0.91096,0.92397,0.58475,1.42331,0.67239,1.44975,0.0007526,0.0007526,0.0007526
128,14078,0.54271,0.29941,0.87752,0.93459,0.90411,0.92183,0.58902,1.40197,0.66894,1.45378,0.0007427,0.0007427,0.0007427
129,14187.4,0.52432,0.3011,0.86347,0.94799,0.87398,0.92466,0.5861,1.40492,0.6606,1.43776,0.0007328,0.0007328,0.0007328
130,14297.8,0.53532,0.29592,0.87088,0.96365,0.91781,0.92634,0.60069,1.34269,0.61161,1.39745,0.0007229,0.0007229,0.0007229
131,14408,0.5349,0.29543,0.86488,0.95277,0.91781,0.9321,0.61745,1.32555,0.58502,1.38785,0.000713,0.000713,0.000713
132,14519,0.5455,0.30392,0.8778,0.95433,0.91781,0.92765,0.58014,1.42935,0.62087,1.45817,0.0007031,0.0007031,0.0007031
133,14630.2,0.52384,0.29146,0.86214,0.94844,0.91096,0.92923,0.58412,1.41984,0.63239,1.45748,0.0006932,0.0006932,0.0006932
134,14740.9,0.49347,0.2813,0.85473,0.94361,0.91693,0.92249,0.59403,1.36221,0.62566,1.39694,0.0006833,0.0006833,0.0006833
135,14851,0.49143,0.28234,0.85288,0.93027,0.91373,0.92121,0.5861,1.40224,0.64789,1.43322,0.0006734,0.0006734,0.0006734
136,14961.2,0.53255,0.28737,0.85831,0.95065,0.89726,0.92857,0.6033,1.38292,0.6427,1.41101,0.0006635,0.0006635,0.0006635
137,15071.1,0.5164,0.28734,0.86356,0.94969,0.90502,0.93258,0.61233,1.34567,0.61471,1.37775,0.0006536,0.0006536,0.0006536
138,15181.7,0.52293,0.28183,0.84486,0.94323,0.91048,0.9283,0.6016,1.38264,0.63879,1.40168,0.0006437,0.0006437,0.0006437
139,15293.1,0.49894,0.28058,0.8549,0.91212,0.92466,0.9349,0.61122,1.36677,0.63845,1.3707,0.0006338,0.0006338,0.0006338
140,15403.1,0.50637,0.282,0.86019,0.90669,0.93177,0.94263,0.62387,1.32372,0.62965,1.36032,0.0006239,0.0006239,0.0006239
141,15514,0.47739,0.26814,0.8478,0.91269,0.93079,0.93134,0.61497,1.36203,0.62981,1.40346,0.000614,0.000614,0.000614
142,15624.7,0.49069,0.27532,0.85384,0.95601,0.91781,0.94025,0.60738,1.35214,0.59387,1.41198,0.0006041,0.0006041,0.0006041
143,15735,0.48651,0.27086,0.86374,0.95584,0.90411,0.93396,0.60196,1.37106,0.60602,1.45362,0.0005942,0.0005942,0.0005942
144,15845.7,0.48108,0.27585,0.85766,0.94235,0.89564,0.92321,0.59173,1.3828,0.62586,1.44913,0.0005843,0.0005843,0.0005843
145,15955.5,0.47288,0.27483,0.84297,0.94817,0.90411,0.92752,0.61063,1.36603,0.64707,1.41803,0.0005744,0.0005744,0.0005744
146,16065.3,0.51354,0.2787,0.8643,0.94993,0.90955,0.92859,0.62183,1.33126,0.6014,1.38811,0.0005645,0.0005645,0.0005645
147,16175.4,0.54463,0.28799,0.87838,0.95442,0.91096,0.92848,0.60226,1.34209,0.60329,1.44024,0.0005546,0.0005546,0.0005546
148,16285.5,0.48246,0.27414,0.85032,0.941,0.92466,0.93295,0.59422,1.35165,0.5992,1.4326,0.0005447,0.0005447,0.0005447
149,16396.3,0.47254,0.26686,0.84481,0.93658,0.91036,0.9267,0.60464,1.30298,0.60755,1.39217,0.0005348,0.0005348,0.0005348
150,16506.3,0.50506,0.39015,0.88658,0.96397,0.91637,0.93244,0.60303,1.33679,0.64276,1.40211,0.0005249,0.0005249,0.0005249
151,16616.5,0.48413,0.27623,0.84888,0.95619,0.91096,0.93134,0.59867,1.33367,0.61304,1.39454,0.000515,0.000515,0.000515
152,16727.2,0.47576,0.26884,0.84939,0.9528,0.91781,0.93354,0.59692,1.36511,0.63017,1.42049,0.0005051,0.0005051,0.0005051
153,16836.9,0.46802,0.27008,0.84587,0.92514,0.93112,0.9344,0.60728,1.34142,0.63775,1.40817,0.0004952,0.0004952,0.0004952
154,16946.2,0.49029,0.27094,0.84954,0.92159,0.93151,0.93179,0.61489,1.33347,0.64234,1.40621,0.0004853,0.0004853,0.0004853
155,17056.2,0.47604,0.26495,0.85221,0.94277,0.90264,0.92789,0.60135,1.37003,0.6559,1.42881,0.0004754,0.0004754,0.0004754
156,17166.3,0.4477,0.26401,0.84169,0.93659,0.90411,0.9316,0.60351,1.34245,0.63,1.41603,0.0004655,0.0004655,0.0004655
157,17276,0.46613,0.26636,0.84672,0.94995,0.91,0.93071,0.6024,1.35901,0.62998,1.41334,0.0004556,0.0004556,0.0004556
158,17386.1,0.45626,0.26055,0.8413,0.92457,0.92466,0.9352,0.61428,1.32213,0.6132,1.3657,0.0004457,0.0004457,0.0004457
159,17496.3,0.44185,0.25649,0.83839,0.94267,0.91781,0.93044,0.60715,1.33527,0.62787,1.37105,0.0004358,0.0004358,0.0004358
160,17606.9,0.44862,0.2761,0.85764,0.94159,0.91781,0.9354,0.60634,1.34055,0.64487,1.381,0.0004259,0.0004259,0.0004259
161,17716.9,0.46654,0.26535,0.85474,0.94287,0.92466,0.93543,0.60465,1.36084,0.64128,1.41164,0.000416,0.000416,0.000416
162,17826.8,0.45659,0.25994,0.84952,0.95615,0.92466,0.93512,0.60922,1.35749,0.6248,1.41452,0.0004061,0.0004061,0.0004061
163,17936.9,0.44916,0.25234,0.82944,0.95102,0.93087,0.93307,0.61883,1.3405,0.62502,1.40995,0.0003962,0.0003962,0.0003962
164,18046.8,0.43743,0.25016,0.84387,0.94391,0.92205,0.93197,0.60476,1.3639,0.65733,1.41749,0.0003863,0.0003863,0.0003863
165,18157.3,0.4559,0.25356,0.84044,0.93593,0.90411,0.92596,0.60865,1.36054,0.65741,1.41919,0.0003764,0.0003764,0.0003764
166,18267.6,0.4422,0.25159,0.83846,0.9424,0.91096,0.92915,0.60132,1.35499,0.64633,1.41061,0.0003665,0.0003665,0.0003665
167,18377.4,0.4382,0.247,0.83022,0.93391,0.91781,0.9284,0.61479,1.32848,0.63694,1.39045,0.0003566,0.0003566,0.0003566
168,18488.9,0.42706,0.24761,0.8361,0.92827,0.91781,0.92581,0.61034,1.33604,0.63918,1.3967,0.0003467,0.0003467,0.0003467
169,18608,0.4569,0.28965,0.84004,0.91455,0.91781,0.92875,0.60309,1.36999,0.67138,1.41423,0.0003368,0.0003368,0.0003368
170,18718.2,0.43105,0.24414,0.83868,0.93296,0.90411,0.92528,0.60397,1.36381,0.66336,1.41052,0.0003269,0.0003269,0.0003269
171,18830.6,0.42856,0.24619,0.84427,0.92296,0.90259,0.92162,0.60839,1.33754,0.6472,1.39045,0.000317,0.000317,0.000317
172,18941.2,0.4255,0.24938,0.8196,0.92302,0.9034,0.92081,0.60916,1.32618,0.64436,1.37395,0.0003071,0.0003071,0.0003071
173,19051.4,0.42478,0.24662,0.84337,0.923,0.90316,0.9248,0.60738,1.35156,0.64848,1.39011,0.0002972,0.0002972,0.0002972
174,19162.1,0.42952,0.24504,0.83844,0.93592,0.9003,0.92541,0.61523,1.33832,0.65851,1.38247,0.0002873,0.0002873,0.0002873
175,19273.2,0.40578,0.2398,0.82471,0.93268,0.91096,0.92394,0.62693,1.32873,0.66127,1.36264,0.0002774,0.0002774,0.0002774
176,19383.9,0.40997,0.24566,0.82356,0.93477,0.92466,0.93087,0.62019,1.34078,0.6538,1.36532,0.0002675,0.0002675,0.0002675
177,19494.2,0.4389,0.24959,0.84078,0.93002,0.92466,0.92866,0.61605,1.34415,0.65146,1.36394,0.0002576,0.0002576,0.0002576
178,19604.9,0.41566,0.24332,0.8267,0.93089,0.92466,0.92845,0.61642,1.33379,0.634,1.363,0.0002477,0.0002477,0.0002477
179,19714.7,0.43304,0.25691,0.84439,0.94044,0.90411,0.92804,0.61688,1.34932,0.63657,1.38317,0.0002378,0.0002378,0.0002378
180,19824.7,0.41311,0.24053,0.8297,0.94196,0.90411,0.93061,0.63101,1.34264,0.64021,1.37406,0.0002279,0.0002279,0.0002279
181,19935,0.39668,0.23544,0.83826,0.95613,0.89574,0.93077,0.62729,1.33122,0.63996,1.38363,0.000218,0.000218,0.000218
